Name,Protein name,Orientation,Length
Q14524,Sodium channel protein type 5 subunit alpha (Sodium channel protein cardiac muscle subunit alpha) (Sodium channel protein type V subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.5) (hH1),i132-149o159-177i195-206o207-218i253-273o388-408i723-736o751-761i762-771o783-798i839-858o916-934i1206-1224o1242-1253i1254-1263o1276-1291i1334-1351o1448-1465i1529-1547o1559-1577i1592-1602o1603-1612i1656-1676o1746-1771i,2016
Q15858,Sodium channel protein type 9 subunit alpha (Neuroendocrine sodium channel) (hNE-Na) (Peripheral sodium channel 1) (PN1) (Sodium channel protein type IX subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.7),i127-145o155-172i190-200o201-213i248-268o377-397i745-763o778-798i810-822o823-834i866-885o945-963i1193-1204o1207-1216i1232-1247o1263-1278i1321-1338o1431-1453i1516-1534o1546-1557i1558-1567o1580-1595i1643-1663o1735-1755i,1988
Q15878,"Voltage-dependent R-type calcium channel subunit alpha-1E (Brain calcium channel II) (BII) (Calcium channel, L type, alpha-1 polypeptide, isoform 6) (Voltage-gated calcium channel subunit alpha Cav2.3)",i91-109o130-150i159-170o171-180i218-238o329-349i477-497o507-527i543-560o565-574i603-622o681-701i1154-1172o1185-1196i1197-1206o1221-1240i1288-1308o1401-1421i1480-1497o1512-1532i1547-1559o1569-1578i1607-1626o1701-1722i,2313
Q8IZF0,Sodium leak channel NALCN (CanIon) (Sodium leak channel non-selective protein) (Voltage gated channel-like protein 1),i40-56o72-88i109-127o141-151i181-201o300-320i385-405o418-438i453-466o474-483i509-525o574-594i887-905o920-938i953-971o982-991i1018-1038o1134-1152i1215-1229o1241-1261i1278-1293o1299-1312i1336-1356o1423-1443i,1738
Q99250,Sodium channel protein type 2 subunit alpha (HBSC II) (Sodium channel protein brain II subunit alpha) (Sodium channel protein type II subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.2),i130-148o162-175i193-209o210-219i251-271o402-420i760-778o790-800i801-811o825-843i881-900o961-978i1209-1227o1245-1256i1257-1266o1279-1294i1337-1354o1449-1469i1532-1551o1562-1573i1574-1583o1596-1612i1659-1679o1751-1771i,2005
Q9NY46,Sodium channel protein type 3 subunit alpha (Sodium channel protein brain III subunit alpha) (Sodium channel protein type III subunit alpha) (Voltage-gated sodium channel subtype III) (Voltage-gated sodium channel subunit alpha Nav1.3),i129-147o161-174i192-202o203-215i250-270o401-419i761-779o791-812i826-840o841-850i882-901o961-979i1207-1225o1243-1254i1255-1264o1277-1292i1335-1352o1446-1464i1527-1545o1561-1578i1590-1600o1601-1610i1654-1674o1746-1766i,2000
Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I (Voltage-gated calcium channel subunit alpha Cav3.3) (Ca(v)3.3),i80-100o114-129i130-139o155-168i209-231o375-392i641-659o671-686i687-696o706-720i764-784o840-858i1171-1189o1202-1218i1219-1228o1245-1260i1306-1322o1410-1425i1489-1506o1521-1541i1556-1568o1581-1590i1619-1638o1708-1728i,2223
Q9UQD0,Sodium channel protein type 8 subunit alpha (Sodium channel protein type VIII subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.6),i133-151o165-178i196-206o207-219i254-274o388-406i754-772o784-805i819-836o837-846i875-894o954-972i1199-1217o1235-1246i1247-1257o1269-1284i1327-1344o1445-1460i1523-1541o1553-1567i1586-1596o1597-1606i1650-1670o1741-1765i,1980
O60840,Voltage-dependent L-type calcium channel subunit alpha-1F (Voltage-gated calcium channel subunit alpha Cav1.4),i96-113o132-147i168-180o199-208i237-256o350-370i530-549o563-583i596-613o620-633i655-675o733-754i872-890o903-930i939-958o959-968i1000-1020o1115-1135i1194-1209o1224-1244i1259-1272o1290-1299i1327-1346o1416-1440i,1977
P35498,Sodium channel protein type 1 subunit alpha (Sodium channel protein brain I subunit alpha) (Sodium channel protein type I subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.1),i129-147o161-174i192-208o209-218i250-270o400-418i769-787o799-811i812-822o837-852i890-909o970-987i1219-1237o1258-1273i1347-1364o1460-1480i1542-1560o1572-1583i1584-1593o1606-1622i1669-1689o1761-1781i,2009
Q9UI33,Sodium channel protein type 11 subunit alpha (Peripheral nerve sodium channel 5) (PN5) (Sensory neuron sodium channel 2) (Sodium channel protein type XI subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.9) (hNaN),i131-147o166-179i196-206o207-216i256-276o377-394i578-596o608-620i621-631o643-661i703-718o788-806i1057-1075o1092-1104i1105-1114o1127-1143i1175-1195o1287-1303i1367-1385o1401-1417i1498-1518o1579-1599i,1791
Q9Y5Y9,Sodium channel protein type 10 subunit alpha (Peripheral nerve sodium channel 3) (PN3) (hPN3) (Sodium channel protein type X subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.8),i131-148o156-173i191-201o202-211i249-269o374-392i666-684o699-719i788-805o868-886i1153-1172o1185-1200i1201-1210o1223-1237i1281-1298o1396-1413i1477-1495o1507-1527i1544-1560o1569-1578i1604-1626o1697-1717i,1956
O96008,Mitochondrial import receptor subunit TOM40 homolog (Protein Haymaker) (Translocase of outer membrane 40 kDa subunit homolog) (p38.5),o101-129-160-186-215-246-270-297-322-352,361
Q15849,"Urea transporter 2 (Solute carrier family 14 member 2) (Urea transporter, kidney)",i127-147o150-170i184-195o205-220i235-250o300-311i315-334o345-361i370-386o401-413i591-609o612-632i646-657o669-683i697-712o762-773i777-796o803-823i832-848o862-875i,920
P21796,Voltage-dependent anion-selective channel protein 1 (VDAC-1) (hVDAC1) (Outer mitochondrial membrane protein porin 1) (Plasmalemmal porin) (Porin 31HL) (Porin 31HM),o56-81-112-136-166-190-218-243-274,283
Q969M1,Mitochondrial import receptor subunit TOM40B (Protein TOMM40-like),o62-107-133-162-193-217-244-269-299,308
O15438,ATP-binding cassette sub-family C member 3 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (Canalicular multispecific organic anion transporter 2) (Multi-specific organic anion transporter D) (MOAT-D) (Multidrug resistance-associated protein 3),o35-55i72-96o103-123i136-156o171-190i311-329o350-370i423-447o451-471i534-555o568-593i966-986o1020-1040i1086-1107o1108-1128i1197-1217o1223-1243i,1527
O95255,ATP-binding cassette sub-family C member 6 (EC 7.6.2.-) (EC 7.6.2.3) (Anthracycline resistance-associated protein) (Multi-specific organic anion transporter E) (MOAT-E) (Multidrug resistance-associated protein 6),o35-55i71-92o104-124i134-153o168-186i309-329o349-366i423-448o451-471i534-553o567-592i942-962o992-1012i1063-1084o1085-1102i1172-1192o1199-1219i,1503
P33527,Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter),o37-57i75-94o106-126i136-157o173-191i320-340o365-385i440-460o465-485i547-567o582-607i972-992o1023-1043i1090-1111o1112-1132i1201-1221o1227-1247i,1531
Q09428,ATP-binding cassette sub-family C member 8 (Sulfonylurea receptor 1),o30-50i75-95o106-122i135-155o169-189i299-319o359-373i428-455o460-479i542-561o582-597i1008-1028o1069-1085i1139-1160o1161-1181i1251-1271o1277-1297i,1581
Q4G0N8,Sodium/hydrogen exchanger 10 (Na(+)/H(+) exchanger 10) (NHE-10) (Solute carrier family 9 member 10) (Solute carrier family 9 member C1) (Sperm-specific Na(+)/H(+) exchanger) (sNHE),o15-33i39-59o78-93i104-129o139-154i167-187o208-234i242-262o266-277i294-314o327-352i361-381o400-419i613-633o644-664i675-695o707-717i,1177
Q5T3U5,ATP-binding cassette sub-family C member 10 (EC 7.6.2.2) (EC 7.6.2.3) (Multidrug resistance-associated protein 7),o29-50i68-89o102-122i133-153o172-188i286-306o323-343i394-417o422-445i505-528o537-562i883-904o978-991i1042-1063o1064-1077i1153-1173o1181-1205i,1492
Q92887,ATP-binding cassette sub-family C member 2 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (Canalicular multidrug resistance protein) (Canalicular multispecific organic anion transporter 1) (Multidrug resistance-associated protein 2),o30-50i66-88o102-117i130-151o166-184i318-338o365-378i436-456o462-482i545-565o582-600i976-996o1028-1049i1102-1120o1121-1140i1211-1229o1235-1255i,1545
Q9UPQ8,Dolichol kinase (EC 2.7.1.108) (Transmembrane protein 15),i20-39o44-61i81-95o110-130i140-155o164-185i192-209o225-248i257-275o298-318i339-354o358-376i403-423o438-458i477-493o502-516i525-537o,538
Q5TAH2,Sodium/hydrogen exchanger 11 (Na(+)/H(+) exchanger 11) (NHE-11) (Solute carrier family 9 member 11) (Solute carrier family 9 member C2),o29-49i52-72o90-105i117-142o153-168i181-199o217-239i251-271o276-291i302-322o335-360i371-389o405-425i609-629o639-661i674-692o701-717i,1124
Q7Z3F1,Lysosomal cholesterol signaling protein (LYCHOS) (G-protein coupled receptor PGR22),o42-59i72-92o103-124i139-150o169-187i211-233o244-264i276-297o316-331i346-366o378-403i413-435o444-466i481-501o520-540i659-681o692-713i,870
O60706,ATP-binding cassette sub-family C member 9 (Sulfonylurea receptor 2),o28-48i73-93o104-120i133-153o167-187i297-317o355-369i434-451o456-475i538-557o574-592i990-1010o1041-1063i1114-1132o1133-1153i1223-1241o1245-1265i,1549
O95427,GPI ethanolamine phosphate transferase 1 (EC 2.-.-.-) (MCD4 homolog) (Phosphatidylinositol-glycan biosynthesis class N protein) (PIG-N),i20o441-463i483-501o508-523i544-562o567-582i593-608o619-639i650-670o683-701i709-724o728-746i787-802o825-846i860-879o895-912i,931
Q5H8A4,GPI ethanolamine phosphate transferase 2 (EC 2.-.-.-) (GPI7 homolog) (hGPI7) (Phosphatidylinositol-glycan biosynthesis class G protein) (PIG-G),i6-24o433-453i470-490o509-529i550-567o579-594i652-671o695-712i722-738o761-778i792-809o813-828i841-856o881-903i921-941o959-975i,983
Q8TAD4,Proton-coupled zinc antiporter SLC30A5 (Solute carrier family 30 member 5) (Zinc transporter 5) (ZnT-5) (ZnT-like transporter 1) (hZTL1),i33-48o62-77i104-113o121-136i152-166o207-219i240-256o271-288i307-320o346-362i419-439o445-465i486-506o525-540i592-613o620-641i,765
Q8TEQ8,GPI ethanolamine phosphate transferase 3 (EC 2.-.-.-) (Phosphatidylinositol-glycan biosynthesis class O protein) (PIG-O),i6-28o451-468i482-502o508-527i547-561o572-588i621-638o668-688i706-720o746-760i831-850o855-874i891-904o934-960i1014-1034o1048-1070i,1089
Q9BVK2,"Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase (EC 2.4.1.265) (Asparagine-linked glycosylation protein 8 homolog) (Dol-P-Glc:Glc(1)Man(9)GlcNAc(2)-PP-dolichyl alpha-1,3-glucosyltransferase) (Dolichyl-P-Glc:Glc1Man9GlcNAc2-PP-dolichyl glucosyltransferase)",i13-29o104-121i142-157o168-178i186-200o201-211i238-258o285-299i334-344o345-354i361-378o385-395i402-422o431-445i458-478o490-510i,526
Q9Y512,Sorting and assembly machinery component 50 homolog (Transformation-related gene 3 protein) (TRG-3),o142-171-209-256-296-366-424-460,469
Q96MT1,RING finger protein 145 (EC 2.3.2.27),i53-72o77-97i123-141o146-159i160-171o174-187i201-221o229-244i275-285o286-295i315-326o340-354i380-400o412-432i449-459o460-474i,663
Q9H330,Transmembrane protein 245 (Protein CG-2),i57-77o84-94i149-166o192-207i219-233o241-253i354-370o378-387i460-480o651-667i706-728o736-755i756-768o774-794i805-819o820-840i,879
Q13183,Solute carrier family 13 member 2 (Na(+)/dicarboxylate cotransporter 1) (NaDC-1) (Renal sodium/dicarboxylate cotransporter),i14-31o39-49i56-70o87-98i123-139o142-151i227-237o267-287i330-345o373-385i421-432o457-471i474-484o498-518i539-556o,592
Q86YT5,Na(+)/citrate cotransporter (NaCT) (Sodium-coupled citrate transporter) (Sodium-dependent citrate transporter) (Solute carrier family 13 member 5),i14-31o39-49i53-70o87-98i124-139o143-152i214-224o254-274i314-332o357-370i410-421o446-460i466-476o488-506i525-545o,568
Q8WWT9,Na(+)/dicarboxylate cotransporter 3 (NaDC-3) (hNaDC3) (Na(+)-coupled carboxylate transporter 3) (NaC3) (Sodium-dependent high-affinity dicarboxylate transporter 2) (Solute carrier family 13 member 3) (SLC13A3),i17-34o42-52i59-72o91-100i127-142o145-154i234-250o279-301i343-358o379-392i429-440o465-480i481-492o506-526i547-567o,602
Q96PB1,N-acetylneuraminate 9-O-acetyltransferase (EC 2.3.1.45) (CAS1 domain-containing protein 1) (Sialate O-acetyltransferase) (SOAT),i24-39o314-333i364-384o402-417i434-449o460-480i490-507o516-534i551-571o605-620i639-659o674-685i703-720o735-756i775-790o,797
Q9BZW2,Solute carrier family 13 member 1 (Renal sodium/sulfate cotransporter) (Na(+)/sulfate cotransporter) (hNaSi-1),i13-30o41-50i57-69o87-96i122-138o141-150i246-256o284-308i348-363o388-399i435-447o471-486i487-497o523-532i553-573o,595
Q9UKG4,Solute carrier family 13 member 4 (Na(+)/sulfate cotransporter SUT-1) (NaS2),i13-29o40-50i55-69o86-96i122-138o141-150i268-285o313-333i377-391o416-427i466-477o502-517i518-529o554-563i581-601o,626
A0PJK1,Sodium/mannose cotransporter SLC5A10 (Sodium/glucose cotransporter 5) (Na(+)/glucose cotransporter 5) (Solute carrier family 5 member 10),o21-40i64-79o91-111i139-159o169-189i192-212o261-283i302-321o368-388i410-431o443-457i472-492o514-534i576-595o,596
A6NKB5,Pecanex-like protein 2 (Pecanex homolog protein 2),i36-53o57-77i841-861o868-880i909-925o952-972i998-1018o1032-1046i1099-1119o1127-1140i1193-1206o1220-1231i1248-1257o1271-1280i,2137
O43511,Pendrin (Sodium-independent chloride/iodide transporter) (Solute carrier family 26 member 4),i88-108o117-130i144-153o188-208i219-239o264-285i300-317o349-367i385-395o396-405i422-442o445-463i477-493o494-514i,780
O94911,ABC-type organic anion transporter ABCA8 (EC 7.6.2.-) (ATP-binding cassette sub-family A member 8),i30-48o223-238i267-296o300-320i329-349o398-418i862-882o1024-1033i1070-1090o1100-1123i1136-1154o1161-1171i1172-1181o1199-1217i,1621
P02730,Band 3 anion transport protein (Anion exchange protein 1) (AE 1) (Anion exchanger 1) (Solute carrier family 4 member 1) (CD antigen CD233),i405-425o440-456i459-471o487-507i523-541o570-588i604-624o661-687i703-713o714-729i761-782o783-803i830-850o858-869i,911
P03905,NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2) (NADH dehydrogenase subunit 4),o17i27-42o65-79i94-110o115-133i148-165o196-205i232-241o261-277i285-303o312-327i351-371o391-411i436-449o,459
P04920,Anion exchange protein 2 (AE 2) (Anion exchanger 2) (Non-erythroid band 3-like protein) (BND3L) (Solute carrier family 4 member 2),i709-720o740-759i762-774o789-810i826-847o901-918i934-954o991-1010i1036-1047o1048-1057i1091-1110o1113-1133i1168-1180o1185-1199i,1241
P13866,Sodium/glucose cotransporter 1 (Na(+)/glucose cotransporter 1) (High affinity sodium-glucose cotransporter) (Solute carrier family 5 member 1),o29-49i70-87o99-119i145-165o178-198i201-223o274-295i314-334o381-401i424-444o456-470i486-506o527-547i643-663o,664
P30825,High affinity cationic amino acid transporter 1 (CAT-1) (CAT1) (Ecotropic retroviral leukemia receptor homolog) (Ecotropic retrovirus receptor homolog) (Solute carrier family 7 member 1) (System Y+ basic amino acid transporter),i38-55o66-88i108-136o166-183i188-210o255-269i287-311o338-358i385-403o408-429i495-516o527-547i560-579o585-605i,629
P31639,Sodium/glucose cotransporter 2 (Na(+)/glucose cotransporter 2) (Low affinity sodium-glucose cotransporter) (Solute carrier family 5 member 2),o25-45i69-84o96-116i142-162o174-194i198-220o274-296i315-334o381-401i424-444o456-470i485-505o527-547i652-671o,672
P40879,Chloride anion exchanger (Down-regulated in adenoma) (Protein DRA) (Solute carrier family 26 member 3),i77-94o106-119i129-138o176-196i209-229o259-279i290-306o340-360i375-385o386-395i412-432o435-455i470-483o484-501i,764
P48751,Anion exchange protein 3 (AE 3) (Anion exchanger 3) (CAE3/BAE3) (Cardiac/brain band 3-like protein) (Neuronal band 3-like protein) (Solute carrier family 4 member 3),i709-720o743-759i762-773o794-811i826-840o892-910i926-946o985-1002i1025-1035o1036-1051i1083-1102o1105-1125i1155-1172o1177-1187i,1232
P52569,Cationic amino acid transporter 2 (CAT-2) (CAT2) (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2),i40-57o68-90i110-138o167-184i187-211o257-271i289-313o339-359i387-408o409-432i496-516o525-545i558-577o583-603i,658
P53794,Sodium/myo-inositol cotransporter (Na(+)/myo-inositol cotransporter) (Sodium/myo-inositol transporter 1) (SMIT1) (Solute carrier family 5 member 3),o9-29i48-68o80-100i126-146o158-178i185-205o259-280i299-319o366-386i409-429o444-455i471-491o511-532i696-716o,718
P58743,Prestin (Solute carrier family 26 member 5),i84-101o109-126i132-149o176-196i209-229o258-278i290-309o338-358i375-395o412-433i434-453o467-478i479-490o491-501i,744
Q04671,P protein (Melanocyte-specific transporter protein) (Pink-eyed dilution protein homolog),i177-197o331-347i354-370o388-398i422-437o438-452i467-485o508-527i627-639o652-663i679-696o722-744i768-787o806-830i,838
Q13423,"NAD(P) transhydrogenase, mitochondrial (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase) (Pyridine nucleotide transhydrogenase)",i476-493o501-521i527-546o558-578i596-616o622-642i646-666o672-691i702-722o740-760i778-797o801-819i833-853o857-879i,1086
Q14728,Major facilitator superfamily domain-containing protein 10 (Tetracycline transporter-like protein),i24-35o36-45i86-97o98-107i119-136o141-161i177-198o202-222i275-295o306-326i336-356o361-381i403-422o426-442i,455
Q2M3M2,Sodium/glucose cotransporter 4 (Na(+)/glucose cotransporter 4) (hSGLT4) (Solute carrier family 5 member 9),o38-59i81-96o108-128i156-178o187-207i210-232o278-299i320-338o386-402i428-448o460-474i490-510o530-548i661-680o,681
Q2Y0W8,Electroneutral sodium bicarbonate exchanger 1 (Electroneutral Na(+)-driven Cl-HCO3 exchanger) (Solute carrier family 4 member 8) (k-NBC3),i479-496o519-528i564-574o575-586i599-610o694-708i728-748o780-799i825-836o837-846i882-899o902-914i952-969o976-988i,1093
Q4ZJI4,"Sodium/hydrogen exchanger 9B1 (Na(+)/H(+) exchanger-like domain-containing protein 1) (NHE domain-containing protein 1) (Sodium/hydrogen exchanger-like domain-containing protein 1) (Solute carrier family 9, subfamily B member 1)",i63-85o95-118i119-139o155-172i182-206o214-230i260-270o287-304i320-334o344-354i375-384o400-420i431-448o470-490i,515
Q6U841,Sodium-driven chloride bicarbonate exchanger (Solute carrier family 4 member 10),i509-529o542-566i595-610o611-620i627-645o725-739i759-779o812-830i856-870o871-880i911-931o932-950i980-1000o1006-1019i,1118
Q7LBE3,Solute carrier family 26 member 9 (Anion transporter/exchanger protein 9),i75-92o104-119i124-136o172-195i203-223o253-273i284-301o332-352i369-389o406-431i432-446o463-477i478-489o490-499i,791
Q86UD5,Sodium/hydrogen exchanger 9B2 (Na(+)/H(+) exchanger NHA2) (Na(+)/H(+) exchanger-like domain-containing protein 2) (NHE domain-containing protein 2) (Sodium/hydrogen exchanger-like domain-containing protein 2) (Solute carrier family 9 subfamily B member 2),i87-105o115-135i143-156o176-190i202-227o235-250i271-296o300-327i340-357o362-378i388-408o418-440i451-468o491-511i,537
Q8NBS3,Solute carrier family 4 member 11 (Sodium borate cotransporter 1) (NaBC1),i364-377o394-411i412-426o443-463i477-488o558-575i591-608o639-659i681-691o692-705i740-760o766-780i813-832o840-856i,875
Q8TBB6,Probable cationic amino acid transporter (Solute carrier family 7 member 14),i59-79o87-110i130-154o190-207i212-236o254-268i288-310o336-358i384-405o406-428i565-585o596-616i632-648o654-674i,771
Q96AA3,Protein RFT1 homolog,i17-36o43-62i85-105o120-140i153-174o180-202i246-270o276-296i335-355o371-391i405-425o428-450i469-489o499-519i,541
Q8WU17,E3 ubiquitin-protein ligase RNF139 (EC 2.3.2.27) (RING finger protein 139) (RING-type E3 ubiquitin transferase RNF139) (Translocation in renal carcinoma on chromosome 8 protein),i51-71o79-99i124-134o135-144i154-167o177-196i237-257o289-309i325-340o356-371i390-410o421-441i470-489o495-509i,664
Q8WWX8,Sodium/myo-inositol cotransporter 2 (Na(+)/myo-inositol cotransporter 2) (Sodium-dependent glucose cotransporter) (Sodium/glucose cotransporter KST1) (Sodium/myo-inositol transporter 2) (SMIT2) (Solute carrier family 5 member 11),o29-48i72-87o103-118i146-166o180-195i205-220o272-287i310-326o376-396i419-439o448-468i480-500o522-539i651-671o,675
Q8WWZ7,Cholesterol transporter ABCA5 (EC 7.6.2.-) (ATP-binding cassette sub-family A member 5),i32-52o220-240i264-290o297-317i328-348o396-416i862-882o1023-1032i1070-1091o1103-1123i1139-1157o1168-1178i1179-1189o1207-1225i,1642
Q8WY07,Cationic amino acid transporter 3 (CAT-3) (CAT3) (Cationic amino acid transporter y+) (Solute carrier family 7 member 3),i38-55o66-88i108-132o166-183i186-210o253-267i287-309o335-356i383-401o406-428i476-498o508-528i541-560o566-586i,619
Q9BY07,Electrogenic sodium bicarbonate cotransporter 4 (NBCe2) (Solute carrier family 4 member 5),i522-542o554-570i575-587o605-629i639-657o743-761i777-793o833-848i874-888o889-898i929-948o951-971i1017-1034o1040-1060i,1137
Q9NY91,Probable glucose sensor protein SLC5A4 (Solute carrier family 5 member 4),o29-49i70-87o99-119i145-169o178-198i201-223o276-296i314-334o381-401i423-444o459-470i485-506o527-547i638-658o,659
Q9UGH3,Solute carrier family 23 member 2 (Na(+)/L-ascorbic acid transporter 2) (Nucleobase transporter-like 1 protein) (Sodium-dependent vitamin C transporter 2) (hSVCT2) (Yolk sac permease-like molecule 2),i110-125o138-158i164-180o217-234i242-260o270-287i313-333o380-396i418-432o433-442i462-482o485-503i517-534o549-568i,650
Q9UHI7,Solute carrier family 23 member 1 (Na(+)/L-ascorbic acid transporter 1) (Sodium-dependent vitamin C transporter 1) (hSVCT1) (Yolk sac permease-like molecule 3),i46-66o80-100i104-124o158-175i183-201o211-228i251-274o321-337i359-374o375-384i403-423o427-444i459-472o491-511i,598
Q9Y672,"Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase (EC 2.4.1.267) (Asparagine-linked glycosylation protein 6 homolog) (Dol-P-Glc:Man(9)GlcNAc(2)-PP-Dol alpha-1,3-glucosyltransferase) (Dolichyl-P-Glc:Man9GlcNAc2-PP-dolichyl glucosyltransferase)",i6-21o114-130i144-159o169-181i187-198o199-208i230-250o298-318i325-343o348-358i364-382o388-403i441-456o469-489i,507
Q9Y6M7,Sodium bicarbonate cotransporter 3 (Electroneutral Na/HCO(3) cotransporter) (Sodium bicarbonate cotransporter 2) (Sodium bicarbonate cotransporter 2b) (Bicarbonate transporter) (Solute carrier family 4 member 7),i609-626o644-658i694-704o705-716i726-740o824-842i858-878o910-929i955-969o970-979i1010-1029o1032-1046i1082-1099o1106-1118i,1214
